Row,Local Date,Hour,Minute,Is Retweet,Retweet Count,,,,,,,,,,,,
7130,7/17/2016,14,0,FALSE,3,,,,,,,,,,,,
7124,7/17/2016,14,3,TRUE,0,,,,,,,,,,,,
7136,7/17/2016,14,4,FALSE,0,,,,,,,,,,,,
7036,7/17/2016,14,5,TRUE,0,,,,,,,,,,,,
7082,7/17/2016,14,15,FALSE,0,,,,,,,,,,,,
7128,7/17/2016,14,15,FALSE,0,,,,,,,,,,,,
7110,7/17/2016,14,18,TRUE,0,,,,,,,,,,,,
3724,7/17/2016,14,25,FALSE,2,,,,,,,,,,,,
3725,7/17/2016,14,25,TRUE,2,,,,,,,,,,,,
4021,7/17/2016,14,27,FALSE,2,,,,,,,,,,,,
4721,7/17/2016,14,29,TRUE,0,,,,,,,,,,,,
3709,7/17/2016,14,32,TRUE,0,,,,,,,,,,,,
7039,7/17/2016,14,35,FALSE,0,,,,,,,,,,,,
7042,7/17/2016,14,44,FALSE,0,,,,,,,,,,,,
11954,7/17/2016,14,44,FALSE,0,,,,,,,,,,,,
11921,7/17/2016,14,57,FALSE,10,,,,,,,,,,,,
3713,7/17/2016,15,3,FALSE,0,,,,,,,,,,,,
11924,7/17/2016,15,4,TRUE,0,,,,,,,,,,,,
11933,7/17/2016,15,5,FALSE,0,,,,,,,,,,,,
3739,7/17/2016,15,6,TRUE,0,,,,,,,,,,,,
11959,7/17/2016,15,7,TRUE,0,,,,,,,,,,,,
11968,7/17/2016,15,7,TRUE,0,,,,,,,,,,,,
11911,7/17/2016,15,8,TRUE,0,,,,,,,,,,,,
11967,7/17/2016,15,10,TRUE,2,,,,,,,,,,,,
11955,7/17/2016,15,12,FALSE,2,,,,,,,,,,,,
4725,7/17/2016,15,23,FALSE,0,,,,,,,,,,,,
11949,7/17/2016,15,23,TRUE,0,,,,,,,,,,,,
11932,7/17/2016,15,26,TRUE,0,,,,,,,,,,,,
11895,7/17/2016,15,28,FALSE,0,,,,,,,,,,,,
4713,7/17/2016,15,32,FALSE,0,,,,,,,,,,,,
4025,7/17/2016,15,33,TRUE,0,,,,,,,,,,,,
3708,7/17/2016,15,34,FALSE,0,,,,,,,,,,,,
4737,7/17/2016,15,35,FALSE,0,,,,,,,,,,,,
4727,7/17/2016,15,36,FALSE,0,,,,,,,,,,,,
3727,7/17/2016,15,42,FALSE,0,,,,,,,,,,,,
11948,7/17/2016,15,42,TRUE,0,,,,,,,,,,,,
6726,7/17/2016,15,44,FALSE,0,,,,,,,,,,,,
11953,7/17/2016,15,44,FALSE,0,,,,,,,,,,,,
7134,7/17/2016,15,48,FALSE,0,,,,,,,,,,,,
7103,7/17/2016,15,54,FALSE,0,,,,,,,,,,,,
13665,7/17/2016,17,8,TRUE,1,,,,,,,,,,,,
19386,7/17/2016,17,10,FALSE,1,,,,,,,,,,,,
19678,7/17/2016,17,15,TRUE,0,,,,,,,,,,,,
21579,7/17/2016,17,24,FALSE,0,,,,,,,,,,,,
14158,7/17/2016,17,27,FALSE,0,,,,,,,,,,,,
21585,7/17/2016,17,27,FALSE,0,,,,,,,,,,,,
21652,7/17/2016,17,32,FALSE,0,,,,,,,,,,,,
6716,7/17/2016,17,37,FALSE,1,,,,,,,,,,,,
7106,7/17/2016,17,39,FALSE,1,,,,,,,,,,,,
7014,7/17/2016,17,42,FALSE,0,,,,,,,,,,,,
14109,7/17/2016,17,46,FALSE,1,,,,,,,,,,,,
21654,7/17/2016,17,47,TRUE,2,,,,,,,,,,,,
2409,7/17/2016,17,49,FALSE,2,,,,,,,,,,,,
7030,7/17/2016,17,50,FALSE,2,,,,,,,,,,,,
11907,7/17/2016,17,54,FALSE,0,,,,,,,,,,,,
11891,7/17/2016,17,55,FALSE,0,,,,,,,,,,,,
7076,7/17/2016,18,2,FALSE,0,,,,,,,,,,,,
1991,7/17/2016,18,5,TRUE,2,,,,,,,,,,,,
4386,7/17/2016,18,5,TRUE,2,,,,,,,,,,,,
7147,7/17/2016,18,8,FALSE,0,,,,,,,,,,,,
19667,7/17/2016,18,18,FALSE,0,,,,,,,,,,,,
14289,7/17/2016,18,27,FALSE,0,,,,,,,,,,,,
7119,7/17/2016,18,36,FALSE,0,,,,,,,,,,,,
21514,7/17/2016,18,39,FALSE,0,,,,,,,,,,,,
7096,7/17/2016,18,52,FALSE,4,,,,,,,,,,,,
19626,7/17/2016,18,53,FALSE,4,,,,,,,,,,,,
7150,7/17/2016,18,54,FALSE,4,,,,,,,,,,,,
2003,7/17/2016,18,56,FALSE,1,,,,,,,,,,,,
7144,7/17/2016,18,57,TRUE,1,,,,,,,,,,,,
13917,7/17/2016,18,57,FALSE,1,,,,,,,,,,,,
21656,7/17/2016,18,58,FALSE,1,,,,,,,,,,,,
7045,7/17/2016,19,0,FALSE,0,,,,,,,,,,,,
7107,7/17/2016,19,0,TRUE,0,,,,,,,,,,,,
21629,7/17/2016,19,0,TRUE,0,,,,,,,,,,,,
13642,7/17/2016,19,5,FALSE,0,,,,,,,,,,,,
14237,7/17/2016,19,7,FALSE,0,,,,,,,,,,,,
2355,7/17/2016,19,8,FALSE,0,,,,,,,,,,,,
7025,7/17/2016,19,9,FALSE,0,,,,,,,,,,,,
7111,7/17/2016,19,13,FALSE,1,,,,,,,,,,,,
